,SOURCE,TARGET,ALGOS,SPEED,MAE,MAPE,WAPE
0,ETTh1,ETTh2,Linear,1.24,3.450,0.406,0.212
1,ETTh1,ETTh2,DLinear,0.59,3.622,0.442,0.222
2,ETTh1,ETTh2,NLinear,0.55,2.998,0.316,0.186
3,ETTh1,ETTh2,PatchTST,1.15,3.087,0.309,0.191
4,ETTh1,ETTh2,NHiTS,0.71,3.527,0.397,0.218
5,ETTh1,ETTh2,NBEATS,1.06,10.860,1.505,0.656
6,ETTh1,ETTh2,Informer,5.54,9.390,1.535,0.568
7,ETTh1,ETTh2,Pyraformer,11.53,12.136,2.090,0.742
8,ETTh1,ETTh2,Crossformer,2.41,7.226,0.992,0.447
9,ETTh1,ETTh2,LSTNet,0.84,16.068,3.225,0.979
10,ETTh1,ETTh2,FEDformer,5.59,4.251,0.398,0.260
11,ETTm1,ETTm2,Linear,2.35,2.627,0.252,0.161
12,ETTm1,ETTm2,DLinear,2.44,2.577,0.236,0.158
13,ETTm1,ETTm2,NLinear,2.40,2.447,0.202,0.151
14,ETTm1,ETTm2,PatchTST,4.16,2.436,0.201,0.150
15,ETTm1,ETTm2,NHiTS,2.94,2.611,0.232,0.161
16,ETTm1,ETTm2,NBEATS,4.39,8.303,0.957,0.506
17,ETTm1,ETTm2,Informer,20.45,11.008,1.554,0.669
18,ETTm1,ETTm2,Pyraformer,47.76,10.425,1.513,0.623
19,ETTm1,ETTm2,Crossformer,9.92,3.985,0.457,0.242
20,ETTm1,ETTm2,LSTNet,3.06,15.425,2.868,0.933
21,ETTm1,ETTm2,FEDformer,22.53,3.237,0.271,0.198
22,ETTh2,ETTh1,Linear,0.63,2.031,0.931,0.422
23,ETTh2,ETTh1,DLinear,0.59,2.110,0.957,0.438
24,ETTh2,ETTh1,NLinear,0.57,2.058,0.937,0.428
25,ETTh2,ETTh1,PatchTST,1.00,2.464,0.943,0.510
26,ETTh2,ETTh1,NHiTS,0.72,2.748,1.113,0.564
27,ETTh2,ETTh1,NBEATS,1.04,4.183,2.121,0.867
28,ETTh2,ETTh1,Informer,5.00,5.093,2.622,1.056
29,ETTh2,ETTh1,Pyraformer,11.69,4.590,2.400,0.949
30,ETTh2,ETTh1,Crossformer,2.78,2.840,1.464,0.588
31,ETTh2,ETTh1,LSTNet,0.71,4.602,3.574,0.956
32,ETTh2,ETTh1,FEDformer,5.46,3.489,1.318,0.713
33,ETTm2,ETTm1,Linear,2.53,1.853,0.777,0.386
34,ETTm2,ETTm1,DLinear,2.61,1.860,0.781,0.388
35,ETTm2,ETTm1,NLinear,2.51,1.890,0.779,0.393
36,ETTm2,ETTm1,PatchTST,4.13,2.095,0.798,0.433
37,ETTm2,ETTm1,NHiTS,2.92,2.405,0.871,0.494
38,ETTm2,ETTm1,NBEATS,4.16,3.723,1.636,0.756
39,ETTm2,ETTm1,Informer,20.67,4.262,2.051,0.876
40,ETTm2,ETTm1,Pyraformer,47.46,4.457,2.336,0.925
41,ETTm2,ETTm1,Crossformer,9.99,3.188,1.580,0.653
42,ETTm2,ETTm1,LSTNet,2.97,4.562,3.472,0.951
43,ETTm2,ETTm1,FEDformer,21.97,3.215,0.973,0.660
